,iso2c,country,year,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,NY.ADJ.DRES.GN.ZS,NY.ADJ.DFOR.GN.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,SI.SPR.PCAP.ZG,SH.DTH.COMM.ZS,SL.TLF.0714.ZS,EN.ATM.CO2E.PC,CC.EST,EN.CLC.CDDY.XD,EN.CLC.MDAT.ZS,IC.BUS.EASE.XQ,EG.ELC.COAL.ZS,EG.IMP.CONS.ZS,EG.EGY.PRIM.PP.KD,EG.USE.PCAP.KG.OE,SP.DYN.TFRT.IN,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,EG.USE.COMM.FO.ZS,NY.GDP.MKTP.KD.ZG,EN.CLC.GHGR.MT.CE,SI.POV.GINI,GE.EST,SE.XPD.TOTL.GB.ZS,EN.CLC.HEAT.XD,SH.MED.BEDS.ZS,SI.DST.FRST.20,IT.NET.USER.ZS,SL.TLF.ACTI.ZS,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,EN.MAM.THRD.NO,EN.CLC.PRCP.XD,EN.CLC.SPEI.XD,SH.DYN.MORT,SM.POP.NETM,IP.PAT.RESD,SH.H2O.SMDW.ZS,SH.STA.SMSS.ZS,EN.ATM.PM25.MC.M3,PV.EST,SP.POP.65UP.TO.ZS,EN.POP.DNST,SI.POV.NAHC,SH.STA.OWAD.ZS,SN.ITK.DEFC.ZS,SG.GEN.PARL.ZS,SL.TLF.CACT.FM.ZS,RQ.EST,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,GB.XPD.RSDV.GD.ZS,RL.EST,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,IP.JRN.ARTC.SC,IC.LGL.CRED.XQ,ER.PTD.TOTL.ZS,SL.UEM.TOTL.ZS,SP.UWT.TFRT,VA.EST,SE.XPD.TOTL.GD.ZS,iso3c,region,capital,longitude,latitude,income,lending
1,1A,Arab World,2013,83.53345682,88.17683639,11.75100939,0.064170251,36.53450274,5.232711197,NA,NA,NA,NA,4.674924823,NA,NA,NA,NA,1.209756367,-178.4992911,4.762786298,1805.698744,3.430463779,113.546338,1.700830065,96.22709585,3.166151438,NA,NA,NA,NA,NA,1.151899193,NA,33.11279758,51.4000363,70.88225374,73.94749,NA,NA,NA,39.16084844,NA,2161,NA,51.69227742,54.05382189,NA,4.204197671,33.80378544,NA,59.87477229,10.83226921,17.49244457,29.86105972,NA,3.770384961,4.226176912,NA,NA,96.37268,0.93009,36035.75041,1.476190476,NA,10.21181972,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
2,1A,Arab World,2014,83.89759605,87.34273859,10.46768823,0.085313058,36.60747488,5.189822922,NA,NA,NA,NA,4.886987513,NA,NA,NA,NA,1.484657076,-164.5392047,4.8339556,1961.366524,3.402058688,111.7540266,1.694674616,95.47834279,2.455200528,NA,NA,NA,NA,NA,1.624523582,NA,36.62384907,51.22462491,71.06429243,74.61962,NA,NA,NA,38.20435962,NA,2184,NA,52.1109005,52.58360285,NA,4.244906479,34.53397845,NA,60.54932552,10.94209883,17.79396971,30.02266396,NA,3.27807342,4.170017467,NA,NA,95.9846,0.93132,38762.21624,1.476190476,NA,10.21067465,15.86752443,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
3,1A,Arab World,2004,78.09443983,79.02110165,10.95750449,0.03850766,36.48436202,6.761778931,NA,NA,NA,NA,4.068562415,NA,NA,NA,NA,2.178091751,-258.6186063,4.665290761,1428.552951,3.576135504,97.57010175,1.686220144,95.19132121,9.343619276,NA,NA,NA,NA,NA,1.612329038,NA,7.081958009,49.59996654,68.88618772,71.17532349,NA,NA,NA,53.11981815,NA,932,NA,46.14228317,NA,NA,4.105225799,27.40153442,NA,53.61462271,10.89928413,6.702670623,27.15971017,NA,3.913530097,6.718286701,NA,NA,92.04267883,0.906939983,11847.24527,NA,NA,11.49361292,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
4,1A,Arab World,2009,81.8096302,84.67445838,8.705027163,0.050586888,36.37226089,5.404777376,NA,NA,NA,NA,4.562015124,NA,NA,NA,NA,1.359937864,-182.7985468,4.789990314,1712.024615,3.475024451,111.3986489,1.71293858,96.21598654,0.428316836,NA,NA,NA,NA,NA,1.528853758,NA,21.56866715,50.41698083,70.15756004,69.8055191,NA,NA,NA,44.29512234,NA,NA,NA,49.52093785,NA,NA,4.123422043,30.85858053,NA,57.09746465,9.936300162,9.91258881,28.7187455,NA,3.328485767,5.049516514,NA,NA,95.28881073,0.924130023,21934.55407,NA,NA,9.257483615,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
5,1A,Arab World,2017,NA,90.2736866,6.422439213,0.089932603,NA,5.371463164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.276553247,NA,NA,NA,0.999881845,NA,NA,NA,NA,NA,NA,NA,49.26012797,50.78732095,71.62252633,74.47393,NA,NA,NA,35.71469563,-1408824,NA,NA,53.39710927,58.6892586,NA,4.461559512,36.66980407,NA,NA,11.85445269,18.8210344,30.42514661,NA,NA,NA,NA,NA,95.5207,0.93879,NA,1.772727273,4.898731272,9.951110101,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
6,1A,Arab World,2008,81.2108864,85.08340737,13.98750121,0.042407013,36.41295443,4.646777343,NA,NA,NA,NA,4.408948273,NA,NA,NA,NA,1.533613318,-214.9928961,4.626283638,1666.034418,3.480700569,106.8410057,1.70622771,96.46673111,5.819174968,NA,NA,NA,NA,NA,1.636057227,NA,18.59709615,50.19899927,69.94217427,71.08016205,NA,NA,NA,46.03277811,NA,NA,NA,48.82419796,NA,NA,4.121297,30.11888656,NA,56.38393193,10.27881174,9.810925173,28.25864176,NA,3.36273905,5.153669002,NA,NA,94.95773315,0.923160017,18403.39161,NA,NA,9.471167532,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
7,1A,Arab World,2005,79.06199952,80.20927897,13.51948707,0.031585746,36.54050096,6.128725664,NA,NA,NA,NA,4.185677306,NA,NA,NA,NA,2.037403142,-255.4225843,4.634998334,1483.609005,3.537575873,100.5104974,1.687258255,95.17014527,5.716351856,NA,NA,NA,NA,NA,1.630261236,NA,8.464300594,49.68275426,69.1646828,71.75141907,NA,NA,NA,51.37324486,NA,982,NA,46.7416192,52.39525059,NA,4.112447622,28.0337122,NA,54.31730479,10.86900441,7.041782323,27.39073267,NA,4.474439922,6.371205285,NA,NA,92.56015015,0.913670003,12852.87354,NA,NA,11.26562394,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
8,1A,Arab World,2011,82.78328935,86.42827172,12.92097201,0.059852123,36.44080821,5.0715797,NA,NA,NA,NA,4.559461655,NA,NA,NA,NA,1.286167091,-186.0960752,4.757558837,1738.294881,3.463100139,115.629377,1.713112687,94.96438725,3.629086449,NA,NA,NA,NA,NA,1.160223066,NA,26.75387459,50.94050943,70.5287748,72.59386,NA,NA,NA,41.41839009,NA,1688,NA,50.71912002,52.65227869,NA,4.152697432,32.3301223,NA,58.49422155,9.330413184,11.3352657,29.15381657,NA,3.549765635,4.697129592,NA,NA,95.59116,0.92372,28301.16011,NA,NA,10.03192862,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
9,1A,Arab World,2007,80.57053589,82.86336534,12.30907131,0.029939794,36.49416292,5.441997472,NA,NA,NA,NA,4.117147549,NA,NA,NA,NA,1.762740052,-224.6767701,4.576093194,1581.776568,3.491093749,103.5739023,1.699901841,96.12584384,4.571479063,NA,NA,NA,NA,NA,1.617113971,NA,14.22754325,50.0954977,69.70155465,70.13626099,NA,NA,NA,47.84750355,3760036,1027,NA,48.11116865,NA,NA,4.122619543,29.39750649,NA,55.69858792,10.49195115,9.762156347,28.59852898,NA,4.150216715,5.600932865,NA,NA,94.05210876,0.920419991,16204.69818,NA,NA,9.846245217,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
10,1A,Arab World,2016,84.51017125,89.67868506,5.222192826,0.088536153,36.61084951,5.478197116,NA,NA,19.97340575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.322465339,NA,1.682361256,NA,3.247325157,NA,NA,NA,NA,NA,NA,NA,41.48747671,50.77021317,71.43649684,73.69399,NA,NA,NA,36.50731919,NA,2913,NA,52.98536097,58.7649047,NA,4.374558942,35.96876433,NA,61.84288659,11.54738322,18.85264985,30.41637281,NA,NA,NA,NA,NA,96.11266,0.93578,44733.95482,1.409090909,4.53237253,9.961817481,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
